nom,adresse,coordonnees,,Id,rue,code_postal,ville
"
Amap Des Locavores Nantais","10, Rue De Savenay Hauts-Pavés Saint-Félix
44000
Nantes",,,id_1206,"10, Rue De Savenay Hauts-Pavés Saint-Félix",CP_44000,Nantes
"
Amap Des Olivettes","21 Rue Des Olivettes Centre Ville
44000
Nantes",,,id_1207,21 Rue Des Olivettes Centre Ville,CP_44000,Nantes
"
Amap Des Rives De Garonne","Allees Garros
33210
Langon",,,id_1208,Allees Garros,CP_33210,Langon
Amap Des Trognons De La Nation,"8 Impasse Crozatier
75012
Paris",,,id_1209,8 Impasse Crozatier,CP_75012,Paris
"
Amap Doulon","19 Rue Corentin Bourveau Doulon-Bottière
44300
Nantes",,,id_1210,19 Rue Corentin Bourveau Doulon-Bottière,CP_44300,Nantes
Amap Du Boucau,"Mairie
64340
Boucau",,,id_1211,Mairie,CP_64340,Boucau
Amap Du Chêne D'Aron,"3 Rue De L'Héronnière Centre Ville
44000
Nantes",,,id_1212,3 Rue De L'Héronnière Centre Ville,CP_44000,Nantes
"
Amap Du Grand Blottereau","Bld Auguste Peneau Doulon-Bottière
44300
Nantes",,,id_1213,Bld Auguste Peneau Doulon-Bottière,CP_44300,Nantes
"
Amap Élément Terre","17 Rue de l'Avre
75015
Paris",,,id_1214,17 Rue de l'Avre,CP_75015,Paris
"
Amap L'Aneth","156 Avenue de Fontainebleau (Veneux-les-Sablons)
77250
Moret-Loing-et-Orvanne",,,id_1215,156 Avenue de Fontainebleau (Veneux-les-Sablons),CP_77250,Moret-Loing-et-Orvanne
"
Amap Le Panier De Marie Groette","597 Rue Emile Basly
62700
Bruay-la-Buissière",,,id_1216,597 Rue Emile Basly,CP_62700,Bruay-la-Buissière
"
Amap Le Panier Des Vignes","Route du Stade
33650
Saint-Morillon",,,id_1217,Route du Stade,CP_33650,Saint-Morillon
"
Amap Le Stendhal","5 Rue Erard
75012
Paris",,,id_1218,5 Rue Erard,CP_75012,Paris
"
Amap Les Petites Ecuries","6 Cour des Petites Ecuries
75010
Paris",,,id_1219,6 Cour des Petites Ecuries,CP_75010,Paris
"
Amap Liberté","8 Rue De La Constitution Chantenay-Bellevue
44100
Nantes",,,id_1220,8 Rue De La Constitution Chantenay-Bellevue,CP_44100,Nantes
"
Amap Longchamp","5 Rue du Chemin Vert
92150
Suresnes",,,id_1221,5 Rue du Chemin Vert,CP_92150,Suresnes
"
Amap Montrouge","70 Avenue de la Marne
92120
Montrouge",,,id_1222,70 Avenue de la Marne,CP_92120,Montrouge
"
Amap Petit Breton","103 Rue Du Corps De Garde Dervallières-Zola
44100
Nantes",,,id_1223,103 Rue Du Corps De Garde Dervallières-Zola,CP_44100,Nantes
Amap Poissons - Groupe Du Tillay,"11 Rue de Tillay
44800
Saint-Herblain",,,id_1224,11 Rue de Tillay,CP_44800,Saint-Herblain
Amap Poissons Calipazo,"Rue Des Droits De L'Homme Bellevue-Chantenay
44100
Nantes",,,id_1225,Rue Des Droits De L'Homme Bellevue-Chantenay,CP_44100,Nantes
"
Amap Saint-Félix","39 Rue Félix Thomas Hauts-Pavés Saint-Félix
44000
Nantes",,,id_1226,39 Rue Félix Thomas Hauts-Pavés Saint-Félix,CP_44000,Nantes
"
Amap Trentemousine","2 Rue Jean Jouneau
44400
Rezé",,,id_1227,2 Rue Jean Jouneau,CP_44400,Rezé
"
Amap Zola","11 Rue Du Prinquiau Dervallières-Zola
44100
Nantes",,,id_1228,11 Rue Du Prinquiau Dervallières-Zola,CP_44100,Nantes
Amap'Loue,"1 Rue de l'Eglise
25440
Quingey",,,id_1229,1 Rue de l'Eglise,CP_25440,Quingey
"Le Miam, L'Amap De Malakoff","26 Avenue Pierre Larousse
92240
Malakoff",,,id_1230,26 Avenue Pierre Larousse,CP_92240,Malakoff
Les Amis De L'Amap De La Prime,"5 Place Alexandre Vincent Hauts-Pavés Saint-Félix
44100
Nantes",,,id_1231,5 Place Alexandre Vincent Hauts-Pavés Saint-Félix,CP_44100,Nantes
Naturamapporte,"49130
Sainte-Gemmes-Sur-Loire",,,id_1232,,CP_49130,Sainte-Gemmes-Sur-Loire
"
Amap Alternatibar","126 Montée de la Grande Côte
69001
Lyon",,double ? ,id_1233,126 Montée de la Grande Côte,CP_69001,Lyon
"
Amap Amapoêle","1 Rue de la Métairie
35520
La Chapelle-des-Fougeretz",,,id_1234,1 Rue de la Métairie,CP_35520,La Chapelle-des-Fougeretz
Amap De La Jarne Au Potager De La Jarne,"Au Potager De La Jarne Route De Salles Sur Mer
17220
La Jarne",,,id_1235,Au Potager De La Jarne Route De Salles Sur Mer,CP_17220,La Jarne
"
Amap De Marans","Marché Couvert, Place Des Halles
17230
Marans",,,id_1236,"Marché Couvert, Place Des Halles",CP_17230,Marans
"
Amap De Paillet","Salle Polyvalente
33550
Paillet",,,id_1237,Salle Polyvalente,CP_33550,Paillet
Amap Des Deux Mains,"Rue Du Lieutenant Botton (Angle Rue De La Mare)
17139
Dompierre-Sur-Mer",,,id_1238,Rue Du Lieutenant Botton (Angle Rue De La Mare),CP_17139,Dompierre-Sur-Mer
"
Amap Des Sablons","Rue Paul Vaillant Couturier
60110
Méru",,,id_1239,Rue Paul Vaillant Couturier,CP_60110,Méru
Amap Désir De Bio,"Place de la Vignasse
06560
Valbonne",,,id_1240,Place de la Vignasse,CP_06560,Valbonne
"
Amap Du Court’Ille","Livraison À Domicile
35440
Montreuil-Sur-Ille",,,id_1241,Livraison À Domicile,CP_35440,Montreuil-Sur-Ille
"
Amap Île Verte","Distribution Actuellement À L'Ecole Du Pont
70000
Echenoz-La-Meline",,,id_1242,Distribution Actuellement À L'Ecole Du Pont,CP_70000,Echenoz-La-Meline
Amap La Croc'Cinelle De La Risle,"Lieu Dit la Vavassorie
61300
Saint-Sulpice-sur-Risle",,,id_1243,Lieu Dit la Vavassorie,CP_61300,Saint-Sulpice-sur-Risle
"
Amap Le Panier D'Argenteuil","2 Avenue Gabriel Peri
95100
Argenteuil",,,id_1244,2 Avenue Gabriel Peri,CP_95100,Argenteuil
"
Amap Tasdon Paysanne","Cadit De Tasdon, 38 Rue Des Frênes
17000
La Rochelle",,,id_1245,"Cadit De Tasdon, 38 Rue Des Frênes",CP_17000,La Rochelle
Graines De Soleil,"Chemin de l'Etang
13220
Châteauneuf-les-Martigues",,,id_1246,Chemin de l'Etang,CP_13220,Châteauneuf-les-Martigues
"
Point Collecte Amap Château Rouge Annemasse","74100
Annemasse",,,id_1247,,CP_74100,Annemasse
Amap,"24 Rue Beaubourg
75003
Paris",,,id_1248,24 Rue Beaubourg,CP_75003,Paris
