Identifiant unique ,Données renseignées de l'AMAP ,,,,,"Commune, code commune INSEE",,Bassin de vie,,Zone d'emploi,,Coordonnées,,Autre,
id,amap,adresse,rue,code_postal,commune_renseignee,commune_corrigee,CODGEO,BV2022,LIBBV2022,ZE2020,LIBZE2020,latitude,longitude,doublon (1 si oui),Rq
id_48,Amap Del'Ort,"Pradines - Pradines
46090
Pradines",Pradines - Pradines,CP_46090,Pradines,Pradines,CI_46224,BV_46042,Cahors,ZE_7607,Cahors,"44,4699985","1,412317439",,
id_49,Amap Des Adrets - Gresivaudan,"Village Des Adrets
38190
Les Adrets",Village Des Adrets,CP_38190,Les Adrets,Les Adrets,CI_38002,BV_38185,Grenoble,ZE_8409,Grenoble,45.2736,5.9216,,
id_50,"
Amap Des Arroches","Place du 19 Mars 1962
38980
Viriville",Place du 19 Mars 1962,CP_38980,Viriville,Viriville,CI_38561,BV_38130,La Côte-Saint-André,ZE_8435,Voiron,"45,31577295","5,204910033",,
id_51,Amap Des Béalières - Agglo Grenobloise,"14 Rue des Boisses
38240
Meylan",14 Rue des Boisses,CP_38240,Meylan,Meylan,CI_38229,BV_38185,Grenoble,ZE_8409,Grenoble,"45,2130987","5,7914579",,
id_52,Amap Des Chênes,"150, Chemin Des Granges
01170
Sergy","150, Chemin Des Granges",CP_01170,Sergy,Sergy,CI_01401,BV_01354,Saint-Genis-Pouilly,ZE_8416,Le Genevois Français,"46,2606064","6,0040253",,
id_53,Amap Des Côteaux Et Amap Du Castéron,"Les Granges Du Gachat
32600
L'Isle Jourdain",Les Granges Du Gachat,CP_32600,L'Isle Jourdain,L'Isle-Jourdain,CI_32160,BV_32160,L'Isle-Jourdain,ZE_7625,Toulouse,43.6625,1.0239,,
id_54,"
Amap Des Ecuets","Les Ecuets
01340
Attignat",Les Ecuets,CP_01340,Attignat,Attignat,CI_01024,BV_01266,Montrevel-en-Bresse,ZE_8405,Bourg en Bresse,"46,3123245","5,2145638",,
id_55,Amap Des Marches,"En Face De La Boulangerie
73800
Les Marches",En Face De La Boulangerie,CP_73800,Les Marches,Porte-de-Savoie,CI_73151,BV_38314,Pontcharra,ZE_8407,Chambéry,,,,
id_56,"
Amap Des Pecheurs","24 Rue Pêcherie
26100
Romans-sur-Isère",24 Rue Pêcherie,CP_26100,Romans-sur-Isère,Romans-sur-Isère,CI_26281,BV_26281,Romans-sur-Isère,ZE_8427,Romans sur Isère,"45,0426851","5,0471631",,
id_57,Amap Des Zabeilles - Grenoble,"45 Boulevard Joseph Vallier
38100
Grenoble",45 Boulevard Joseph Vallier,CP_38100,Grenoble,Grenoble,CI_38185,BV_38185,Grenoble,ZE_8409,Grenoble,"45,1798877","5,7088067",,
id_58,Amap D'Issoire,"Avenue du Docteur Bienfait
63500
Issoire",Avenue du Docteur Bienfait,CP_63500,Issoire,Issoire,CI_63178,BV_63178,Issoire,ZE_8410,Issoire,"45,5510581","3,2729298",,
id_59,Amap D'Orliénas,"Place des Terreaux
69530
Orliénas",Place des Terreaux,CP_69530,Orliénas,Orliénas,CI_69148,BV_69123,Lyon,ZE_8421,Lyon,"45,6586467","4,7197598",,
